engine,case,version,value_bytes,pattern,mode,concurrency,operations,batches,ops_s,payload_mib_s,p50_ms,p95_ms,p99_ms,p999_ms,errors,hits,read_operations,hit_ratio,origin_requests,origin_bytes_avoided,nvm_hits_delta,cpu_us_per_op,server_cpu_cores,memory_after_mib,disk_read_mib,disk_write_mib,raw_path
memcached_extstore,near_limit-0,1.6.45,4193000,uniform,hit,1,20,,500.3810151453855,2000.901791100122,1.956917,2.21356875,2.22411375,,0,20,20,1.0,0,83860000,0,2953.25,1.4777502329781098,14.421875,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-fixed-1.6/memcached_extstore/near_limit-0/result.json
redis,near_limit-0,8.2.10,4193000,uniform,hit,1,20,,330.71084045808,1322.4320927054687,2.868875,3.17828125,3.18825625,,0,20,20,1.0,0,83860000,0,1717.35,0.5679462618606836,24.12109375,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-1.6/redis/near_limit-0/result.json
valkey,near_limit-0,8.1.10,4193000,uniform,hit,1,20,,338.912206726977,1355.2273586332458,2.7823124999999997,3.01838785,3.0844447699999997,,0,20,20,1.0,0,83860000,0,1688.7,0.572321043499846,22.6875,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-1.6/valkey/near_limit-0/result.json
grpc,origin_onepass_64k-0,1.6.0,65536,one_pass,origin,1,450,,116.7575708334899,0.0,8.521999999999998,9.8333753,11.591564089999997,,0,0,450,0.0,450,0,0,1038.5933333333332,0.12126363468385705,177.80859375,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-fixed-1.6/grpc/origin_onepass_64k-0/result.json
memcached,origin_onepass_64k-0,1.6.45,65536,one_pass,origin,1,450,,156.3422649531822,0.0,6.12275,7.318227749999997,10.495124329999964,,0,0,450,0.0,450,0,0,244.85777777777778,0.03828161956918074,39.12890625,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-1.6/memcached/origin_onepass_64k-0/result.json
memcached_extstore,origin_onepass_64k-0,1.6.45,65536,one_pass,origin,1,450,,151.68626455134887,0.0,6.4447915,7.87284155,8.382870339999998,,0,0,450,0.0,450,0,0,330.02222222222224,0.05005983810782405,39.796875,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-fixed-1.6/memcached_extstore/origin_onepass_64k-0/result.json
redis,origin_onepass_64k-0,8.2.10,65536,one_pass,origin,1,450,,129.3225570017359,0.0,7.724,8.869572799999998,10.059836999999998,,0,0,450,0.0,450,0,0,456.68444444444447,0.05905960009847276,44.97265625,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-1.6/redis/origin_onepass_64k-0/result.json
valkey,origin_onepass_64k-0,8.1.10,65536,one_pass,origin,1,450,,132.21016547440937,0.0,7.2372499999999995,9.633310199999997,13.66857317,,0,0,450,0.0,450,0,0,416.4422222222222,0.05505789511053076,43.85546875,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-1.6/valkey/origin_onepass_64k-0/result.json
grpc,origin_shift_64k-0,1.6.0,65536,hot_shift,origin,1,3300,,1068.8483115695872,61.053911130565815,0.212042,7.625470549999994,9.347024079999995,,0,3016,3300,0.9139393939393939,284,197656576,0,247.0112121212121,0.26401751701451476,172.06640625,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-fixed-1.6/grpc/origin_shift_64k-0/result.json
memcached,origin_shift_64k-0,1.6.45,65536,hot_shift,origin,1,3300,,1539.1107267542388,87.91587030096183,0.0772295,6.11225445,7.160538419999995,,0,3016,3300,0.9139393939393939,284,197656576,0,93.97181818181818,0.14463303337623537,33.8984375,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-1.6/memcached/origin_shift_64k-0/result.json
memcached_extstore,origin_shift_64k-0,1.6.45,65536,hot_shift,origin,1,3300,,1409.246499650854,80.49786823763212,0.11143700000000001,6.21630145,7.36113542,,0,3016,3300,0.9139393939393939,284,197656576,0,94.67969696969698,0.13342703154254903,34.484375,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-fixed-1.6/memcached_extstore/origin_shift_64k-0/result.json
redis,origin_shift_64k-0,8.2.10,65536,hot_shift,origin,1,3300,,1260.0531392353605,71.97576265026225,0.1172705,7.3220806,8.313289589999998,,0,3016,3300,0.9139393939393939,284,197656576,0,97.13363636363637,0.12239354342534596,39.34375,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-1.6/redis/origin_shift_64k-0/result.json
valkey,origin_shift_64k-0,8.1.10,65536,hot_shift,origin,1,3300,,1286.1218983345427,73.46484176850342,0.1129165,7.142201799999994,8.05953583,,0,3016,3300,0.9139393939393939,284,197656576,0,87.33121212121212,0.11231858431718997,38.21484375,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-1.6/valkey/origin_shift_64k-0/result.json
grpc,origin_skew_64k-0,1.6.0,65536,skew,origin,1,3300,,399.4308129314017,18.239160795030482,0.5350205,8.683999699999998,9.650677329999999,,0,2411,3300,0.7306060606060606,889,158007296,0,422.2063636363636,0.16864223105208373,214.4609375,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-fixed-1.6/grpc/origin_skew_64k-0/result.json
memcached,origin_skew_64k-0,1.6.45,65536,skew,origin,1,3300,,532.149116855214,24.299460620036378,0.184979,7.0324503,7.642167669999999,,0,2411,3300,0.7306060606060606,889,158007296,0,103.71878787878788,0.055193861370990235,75.89453125,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-1.6/memcached/origin_skew_64k-0/result.json
memcached_extstore,origin_skew_64k-0,1.6.45,65536,skew,origin,1,3300,,518.683700473928,23.6845909439894,0.12822899999999998,7.101576799999999,7.65568492,,0,2411,3300,0.7306060606060606,889,158007296,0,147.76272727272726,0.07664211817393797,76.47265625,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-fixed-1.6/memcached_extstore/origin_skew_64k-0/result.json
redis,origin_skew_64k-0,8.2.10,65536,skew,origin,1,3300,,431.510263122661,19.704000840695752,0.327125,8.273968749999998,9.121255919999998,,0,2411,3300,0.7306060606060606,889,158007296,0,223.80212121212122,0.0965729122116521,82.6484375,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-1.6/redis/origin_skew_64k-0/result.json
valkey,origin_skew_64k-0,8.1.10,65536,skew,origin,1,3300,,424.1687609294791,19.36876671592754,0.3465,8.30365865,9.166121999999966,,0,2411,3300,0.7306060606060606,889,158007296,0,202.4530303030303,0.08587425101005464,81.72265625,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-1.6/valkey/origin_skew_64k-0/result.json
grpc,origin_skew_64k-1,1.6.0,65536,skew,origin,1,3300,,405.5102243184726,18.51676422029995,0.5329585,8.543177400000001,9.49858158,,0,2411,3300,0.7306060606060606,889,158007296,0,410.11424242424243,0.166305518441655,214.19921875,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-fixed-1.6/grpc/origin_skew_64k-1/result.json
memcached,origin_skew_64k-1,1.6.45,65536,skew,origin,1,3300,,505.9879130957485,23.104864743822912,0.2567915,7.325163949999999,7.867048749999996,,0,2411,3300,0.7306060606060606,889,158007296,0,125.73939393939393,0.06362261353331815,76.0859375,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-1.6/memcached/origin_skew_64k-1/result.json
memcached_extstore,origin_skew_64k-1,1.6.45,65536,skew,origin,1,3300,,522.2159050520401,23.84588157349372,0.1820205,7.087845799999999,7.767381159999995,,0,2411,3300,0.7306060606060606,889,158007296,0,156.30363636363637,0.08162424492656131,76.36328125,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-fixed-1.6/memcached_extstore/origin_skew_64k-1/result.json
redis,origin_skew_64k-1,8.2.10,65536,skew,origin,1,3300,,429.9424189063199,19.63240856028669,0.3489995,8.2933601,9.097161079999987,,0,2411,3300,0.7306060606060606,889,158007296,0,219.92727272727274,0.09455606361983356,83.81640625,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-1.6/redis/origin_skew_64k-1/result.json
valkey,origin_skew_64k-1,8.1.10,65536,skew,origin,1,3300,,440.8013423990476,20.128258267501966,0.314396,8.18068095,8.93313625,,0,2411,3300,0.7306060606060606,889,158007296,0,186.26909090909092,0.0821076653201775,81.8671875,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-1.6/valkey/origin_skew_64k-1/result.json
grpc,origin_uniform_64k-0,1.6.0,65536,uniform,origin,1,3300,,228.65742875653288,7.292786174734875,1.2578335,9.214720799999998,10.111440499999993,,0,1684,3300,0.5103030303030303,1616,110362624,0,618.1360606060606,0.1413414022398742,230.6015625,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-fixed-1.6/grpc/origin_uniform_64k-0/result.json
memcached,origin_uniform_64k-0,1.6.45,65536,uniform,origin,1,3300,,311.1003429121848,10.110761144646006,0.423771,7.273745549999999,7.764244589999997,,0,1716,3300,0.52,1584,112459776,0,138.35636363636362,0.043042712171355656,99.890625,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-1.6/memcached/origin_uniform_64k-0/result.json
memcached_extstore,origin_uniform_64k-0,1.6.45,65536,uniform,origin,1,3300,,297.32294908922285,10.164165210341805,0.612167,7.710738149999999,9.863772169999992,,0,1805,3300,0.546969696969697,1495,118292480,0,351.1269696969697,0.10439810613506521,107.6796875,0.0,0.0,bench/investigation/runs/2026-09-23-extstore-proof/memcached_extstore/origin_uniform_64k-0/result.json
redis,origin_uniform_64k-0,8.2.10,65536,uniform,origin,1,3300,,242.3736198382035,7.340064737145594,6.3820835,8.398358649999999,9.192864589999997,,0,1599,3300,0.48454545454545456,1701,104792064,0,269.2321212121212,0.06525476379489979,94.08984375,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-1.6/redis/origin_uniform_64k-0/result.json
